,song_id,song_id1,song_id2,song_id3,song_id4,song_id5,song_id6,song_id7,song_id8,song_id9,r,g,b
0,SOHNWIM12A67ADF7D9,SOHNWIM12A67ADF7D9,SOMBENA12A8C142D3C,SONVIOU12AB0181500,SOZPAMO12A8C140C32,SOUWSEZ12A81C20F90,SOJDNPX12A6310E10F,SONHWOZ12A5891F94D,SOFCQGW12A58A7BC25,SOMKVSO12A8C1418A1,9.0,105.0,107.0
1,SOECFIW12A8C144546,SOCVMXL12A6D4F6EE7,SOECFIW12A8C144546,SOOSVBQ12AAF3B360E,SOYQWDX12A6D4FBB50,SOPFFKV12AF729FD3A,SOTSTAA12AB017F16C,SOCKLYO12AF72A877F,SORGYYE12A8C136272,SOTIGDK12A8C142265,18.0,96.0,112.0
2,SOGWEOB12AB018A4D0,SOZBQIA12A8C13E839,SOGWEOB12AB018A4D0,SOJZQJG12AB018A2C6,SOKWEAS12A8AE45448,SOWIGCV12A6D4F6A35,SOQFKKT12A6701F129,SOPQBQO12A58A7970F,SODRMUG12A58A79A4E,SONKBOM12AC468D475,10.0,105.0,108.0
3,SOJGCRL12A8C144187,SOJGCRL12A8C144187,SOQKMWH12AF72A6B41,SOYZRTB12A6310D872,SOSHYQA12A67ADA568,SOQDAYK12A8C13E11E,SOVIIOV12A67020315,SOPSYTT12AF72A92A5,SODFMEY12A8C1353BD,SOOPYMV12A6D4FC0D7,19.0,95.0,113.0
4,SOHNFBA12AB018CD1D,SOHNFBA12AB018CD1D,SOFNZIF12AC3DF5590,SOJZVJW12A8C13B891,SOCGVMA12A8C143369,SOBJRPN12A8AE4826A,SOLLHZW12AF72A95AA,SONYAFR12AB017F05A,SONIRSR12A8C13B7B9,SOUQGQM12AB018D740,9.0,101.0,107.0
5,SOSEDAW12A6701C8BB,SOKYQNP12A6BD53D5D,SOWUEWP12A8C145998,SOSEDAW12A6701C8BB,SOJPCYJ12A81C22380,SONNDOT12AC468C9C5,SOYRTKE12A8C13BA93,SOVRRRA12AB018282B,SOGMMME12A8C141112,SOGBLKU12A8C134292,11.0,102.0,109.0
6,SOSZNRJ12A8AE46E38,SOSZNRJ12A8AE46E38,SOIHOTV12A6D4F82B2,SOIMEKU12AB0188994,SOAYJBZ12AB0189E01,SOWZJLW12A8C13EB2A,SOPIJEU12AB01821EC,SOCBMYZ12A8C14511D,SOICZEE12AB018DD99,SODMEQS12A6D4F775C,18.0,109.0,110.0
7,SOOAIPI12AB017C018,SOSQAFL12A67ADC822,SOOAIPI12AB017C018,SOQXZXZ12A58A7BF40,SOVHDQC12A8C13D868,SOSNGXL12A6D4F7A09,SOLZAAG12A8C131C53,SOSDXCG12A8151D772,SOLLHJW12AF729E2EC,SOJZXJQ12A6310F132,21.0,103.0,104.0
8,SOOXEWU12A81C21671,SOOXEWU12A81C21671,SOYYBHE12A6BD53865,SOUYQDK12A58A7B49C,SOLYFZT12A6D4FAC19,SOMCHML12A8C13DB9A,SOQFTUV12A6D4F6351,SOTDBWV12A6701F798,SOEAJJU12A58A790CF,SOWPEHL12A6D4F81D3,7.0,101.0,109.0
9,SOGKGLB12A81C22AFA,SOGKGLB12A81C22AFA,SOAACSG12AB018DC80,SOXLBUE12A8C143C42,SOPGABS12AC46867D6,SORALYQ12A8151BA99,SOAOSWF12A8C1351CC,SOXNRNY12AB018458F,SOSIKDP12A58A799D2,SODDCRW12A6D4F9673,40.0,119.0,101.0
